Id,SalePrice
1461,103060.92391338036
1462,153733.15481514344
1463,167052.46136703528
1464,190630.73742979072
1465,221578.2423372054
1466,193647.7498681955
1467,165962.22396283402
1468,182407.89960747183
1469,200129.6221133239
1470,97804.89898176045
1471,199892.99368678234
1472,133501.42434584082
1473,114655.71681391638
1474,181875.48564775332
1475,149625.9049725374
1476,329616.4147494599
1477,257825.0967788634
1478,291992.49492935324
1479,274270.77242350124
1480,351031.28735147027
1481,299590.01406344713
1482,226902.3819343903
1483,174066.74757188215
1484,188534.82921278788
1485,202081.80663229167
1486,223319.2079143959
1487,312900.3630564094
1488,260842.10921726818
1489,192853.29799717118
1490,182585.37092737798
1491,218941.58202337718
1492,109923.14828308536
1493,184123.45569989807
1494,305446.5676203506
1495,298111.08639756247
1496,208825.71678872587
1497,220183.88126272033
1498,191788.4700777342
1499,191788.4700777342
1500,168860.922187968
1501,185188.28361933504
1502,184689.61728148768
1503,250371.30134280454
1504,255179.47890610562
1505,209062.34521526744
1506,203941.08642275297
1507,243339.71944192122
1508,207608.82703414702
1509,193056.17880184163
1510,143567.09003278633
1511,142206.4765801724
1512,160012.76567742412
1513,200746.60266444203
1514,131650.25834410737
1515,216271.1740876779
1516,187791.19631129212
1517,141842.5763814305
1518,165573.5337011506
1519,208352.45993564278
1520,117672.72925232115
1521,121399.62697035058
1522,189210.96687054142
1523,104092.00421094624
1524,112999.31782812552
1525,107556.86401766984
1526,108503.37772383605
1527,103898.08096520539
1528,147521.6586184277
1529,140195.13495456922
1530,178266.9021429947
1531,134084.65727508784
1532,84797.82988888022
1533,150370.15729585593
1534,149118.90049758318
1535,146659.71150366118
1536,123706.75412913071
1537,44732.63619271078
1538,217867.79654501064
1539,280025.4636929685
1540,162885.2106475921
1541,182703.68514064877
1542,145417.41226431803
1543,222507.46034733515
1544,70254.13921550443
1545,142079.20480797204
1546,166494.6379225525
1547,136011.43230929138
1548,158879.82309242216
1549,132208.92555879187
1550,161550.8504499442
1551,138293.14998330723
1552,161694.57414797926
1553,146769.06815800234
1554,153437.3692819665
1555,149144.30998234745
1556,122464.45488978756
1557,111773.47051461706
1558,129478.74109463443
1559,115821.56325058769
1560,170069.47380544004
1561,112745.39370554753
1562,102824.29548683882
1563,101167.89650104797
1564,151908.242068376
1565,155871.76821294698
1566,208529.93125554896
1567,90351.10354570158
1568,212932.96663133192
1569,95184.69059376695
1570,138648.09262311953
1571,115568.48289821146
1572,119388.2853447474
1573,210008.85892143362
1574,147471.45907072193
1575,205572.07592377957
1576,243602.60112342882
1577,193089.92642371275
1578,181224.75747476408
1579,127772.14256113779
1580,220893.766542345
1581,110751.34777598079
1582,122507.16007058829
1583,283499.2810586217
1584,244911.55183631243
1585,145907.96481343757
1586,37802.29715744083
1587,108740.00615037761
1588,120808.05590399672
1589,111884.29036098273
1590,139949.54896909808
1591,61160.39671948939
1592,126723.7665675355
1593,146381.22166652067
1594,161135.90693329473
1595,127982.51773271331
1596,226352.67227863535
1597,199470.55580322776
1598,218527.48227692948
1599,207025.5941049
1600,216313.25984665586
1601,6829.382765261893
1602,140600.27714208735
1603,81316.51815632194
1604,243229.7433657573
1605,279831.54044722766
1606,171759.62041310203
1607,216896.4927759029
1608,221054.78593641648
1609,192616.66957062963
1610,156108.39663948852
1611,145460.11744511873
1612,155280.1971465931
1613,150192.68597594975
1614,105959.62213851439
1615,68969.13479536056
1616,68969.13479536056
1617,89598.51308527622
1618,101759.46756740185
1619,119963.4044852666
1620,214555.61799525167
1621,146051.6885114726
1622,137549.51708181144
1623,252517.40910751317
1624,202048.05901042058
1625,127289.9281491251
1626,180574.0293017748
1627,190867.36585633227
1628,301542.198582415
1629,217107.71171768018
1630,295051.368778357
1631,233291.34945101215
1632,248435.56874967142
1633,202555.0634853748
1634,192523.76484212314
1635,185424.9120458766
1636,166139.69528274017
1637,185095.37889082855
1638,242072.01071781383
1639,194594.2635743617
1640,278926.8881516604
1641,196723.91941323568
1642,232251.93101633945
1643,256717.5636786257
1644,252990.6659605963
1645,166579.20451395217
1646,161762.06939172148
1647,191374.37033128648
1648,140490.92048774616
1649,112171.1183352301
1650,96740.07106232346
1651,96740.07106232346
1652,133501.42434584082
1653,133501.42434584082
1654,187317.939458209
